SystemCode,SystemName,ItemName,MakeOrBuy,Description,Quantity,PartNumber,UnitCostEUR,TotalCostEUR
BR,Brake Discs,Front Brake Disks,Buy,A steel machined disc,2,1006-BR-00005,,
BR,Brake Discs,Rear Brake Disks,Buy,A steel machined disc,2,1006-BR-00006,,
BR,Brake Lines,Master Cylinder,Buy,Wilwood cylinders,2,1006-BR-00001,,
BR,Brake Lines,Braided Brake Line Hose,Buy,Flexible hoses in the brake lines,1,1006-BR-00002,,
BR,Calipers,Front Brake Callipers,Buy,Contains brake pads and piston,2,1006-BR-00003,,
BR,Calipers,Rear Brake Callipers,Buy,Contains brake pads and piston,2,1006-BR-00004,,

LV,Brake Light,Brake light,Buy,Actuates brake light when brake is pressed,1,1006-LV-00002,,
LV,Brake Light,LED Lamp,Buy,LED light strip used as a brake light,1,1006-LV-00003,,
LV,Brake Light,2 Pin Connector,Buy,Used for the connection of brake light,1,1006-LV-00004,,
LV,Control Unit,ECU OEM Spark & Fuel,Buy,Stock ECU of the car (KTM DUKE 390),1,1006-LV-00008,,
LV,Control Unit,Race Dynamics Fuel X Pro,Buy,Piggyback ECU with multiple fuel maps,1,1006-LV-00009,,
LV,Dash Panel,KTM DUKE 390 Digital Meter,Buy,Displays relevant details of car,1,1006-LV-00005,,
LV,Dash Panel,Dash Kill Switch,Buy,Push pull kill switch on the dash panel,1,1006-LV-00006,,
LV,Dash Panel,Start Pushbutton,Buy,Push button to turn the car ON,1,1006-LV-00007,,
